"Country","Total Cases","New Cases","Total Deaths","New Deaths","Total Recovered","Active Cases","Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,"Total Tests",Tests/1M pop,CASES per Test,Death in Closed Cases,Rank by Testing rate,Rank by Death rate,Rank by Cases rate,Rank by Death of Closed Cases 
Equatorial Guinea,"4,892.00",,83,,"2,713.00","2,096.00",,"3,473.00",59,"49,215.00","34,935.00","1,408,774",2.97%,109,74,72,105
CAR,"4,679.00",,61,,"1,755.00","2,863.00",2,967,13,"30,775.00","6,357.00","4,840,968",3.36%,166,130,121,91
Hong Kong,"4,605.00",18,73,1,"3,827.00",705,31,614,10,"780,415.00","103,981.00","7,505,365",1.87%,52,134,140,143
Nicaragua,"4,311.00",,133,,"2,913.00","1,265.00",,650,20,,,"6,635,277",4.37%,,112,139,74
Montenegro,"4,229.00",55,81,1,"3,186.00",962,,"6,733.00",129,"44,219.00","70,404.00","628,077",2.48%,68,44,36,122
Eswatini,"4,110.00",52,81,2,"2,643.00","1,386.00",11,"3,538.00",70,"28,380.00","24,427.00","1,161,807",2.97%,122,64,68,104
Congo,"3,850.00",,77,,"1,625.00","2,148.00",,695,14,,,"5,535,717",4.52%,,128,136,67
Cuba,"3,565.00",83,88,,"2,894.00",583,3,315,8,"346,439.00","30,589.00","11,325,635",2.95%,115,141,164,106
Thailand,"3,389.00",7,58,,"3,218.00",113,1,49,0.8,"749,213.00","10,730.00","69,824,575",1.77%,147,180,201,146
Cabo Verde,"3,368.00",47,37,1,"2,462.00",869,,"6,049.00",66,"73,900.00","132,720.00","556,812",1.48%,36,67,42,157
Suriname,"3,366.00",71,55,1,"2,383.00",928,20,"5,731.00",94,"5,889.00","10,026.00","587,354",2.26%,151,56,45,131
Somalia,"3,265.00",,93,,"2,396.00",776,,205,6,,,"15,950,038",3.74%,,148,180,85
Mayotte,"3,160.00",,39,,"2,964.00",157,1,"11,547.00",143,"13,000.00","47,502.00","273,671",1.30%,89,41,18,162
Mozambique,"3,115.00",70,20,1,"1,380.00","1,715.00",,99,0.6,"82,264.00","2,623.00","31,367,587",1.43%,178,182,191,158
